season,week,player,team,opp,position,line,pred_yards,prob_over,edge,targets
2024,1,T.Hill,MIA,JAX,WR,60.5,141.15369479317357,0.9999999621131149,0.9090908367614012,12
2024,1,I.Likely,BAL,KC,TE,35.5,99.72269196181074,0.9999999564800867,0.9090908260074382,12
2024,1,C.Kupp,LA,DET,WR,60.5,122.30329440891127,0.999981074429156,0.9090547784556613,21
2024,1,A.Brown,PHI,GB,WR,60.5,112.09952802852749,0.9997091090905352,0.9085355719001127,10
2024,1,J.Williams,DET,LA,WR,60.5,109.19307622979692,0.9994152272250711,0.9079745247024085,9
2024,1,B.Bowers,LV,LAC,TE,35.5,67.2259092876925,0.9959012580584083,0.9012660381115069,8
2024,1,R.Rice,KC,BAL,WR,60.5,91.22022278265787,0.9797207279338596,0.8703759351464592,9
2024,1,T.McBride,ARI,BUF,TE,35.5,50.61142810862802,0.8960364173880734,0.7106149786499583,9
2024,1,S.LaPorta,DET,LA,TE,35.5,47.12382550447281,0.8336406067110164,0.5914957037210312,5
2024,1,N.Collins,HOU,IND,WR,60.5,74.67424449813922,0.827657704776294,0.5800738000274703,8
2024,1,D.Smith,PHI,GB,WR,60.5,73.67813056061358,0.8101751823715246,0.546698075436547,8
2024,1,W.Robinson,NYG,MIN,WR,60.5,72.9964716462023,0.7976053002148698,0.5227010276829331,12
2024,1,A.Lazard,NYJ,SF,WR,60.5,71.82507873548441,0.7748770836309244,0.4793107960226739,9
2024,1,C.Lamb,DAL,CLE,WR,60.5,71.76219796646997,0.7736174572207609,0.4769060546941799,10
2024,1,D.Achane,MIA,JAX,RB,55.5,65.65916141281517,0.7659746644749802,0.462315268543144,7
2024,1,G.Pickens,PIT,ATL,WR,60.5,69.23010359517049,0.7197189855342435,0.3740089723835558,7
2024,1,D.Goedert,PHI,GB,TE,35.5,41.4526954281784,0.6900732379292149,0.3174125451375921,5
2024,1,C.Godwin,TB,WAS,WR,60.5,67.188306280897,0.6721605942343408,0.2832156799019234,8
2024,1,D.Samuel,SF,NYJ,WR,60.5,65.3105879156907,0.6257833473713598,0.1946772995271413,9
2024,1,G.Kittle,SF,NYJ,TE,35.5,38.91091113355086,0.6118877623245758,0.16814936443782647,5
2024,1,J.Reed,GB,PHI,WR,60.5,64.62181431314201,0.6082602953782865,0.16122420026763784,6
2024,1,T.Lockett,SEA,DEN,WR,60.5,63.8840796192643,0.5892457939324923,0.12492378841657625,7
2024,2,H.Henry,NE,SEA,TE,35.5,99.74469618837266,0.9999999569190356,0.9090908268454316,12
2024,2,A.St. Brown,DET,TB,WR,60.5,128.3117195360359,0.9999969194093186,0.9090850279632445,18
2024,2,M.Nabers,NYG,WAS,WR,60.5,113.80146410347888,0.9998098794908985,0.9087279517553517,18
2024,2,J.Smith-Njigba,SEA,NE,WR,60.5,112.99092281647084,0.9997668422612755,0.908645789771526,16
2024,2,D.Metcalf,SEA,NE,WR,60.5,110.6704927735395,0.9995881412038192,0.9083046332072913,14
2024,2,M.Harrison,ARI,LA,WR,60.5,106.42607194667937,0.9988997206116554,0.9069903757131603,8
2024,2,M.Gesicki,CIN,KC,TE,35.5,72.1975476554708,0.9988863815158459,0.9069649101666147,9
2024,2,B.Bowers,LV,BAL,TE,35.5,70.01954741227983,0.9979902603632824,0.9052541334208118,9
2024,2,G.Kittle,SF,MIN,TE,35.5,69.07292408708048,0.997426953309316,0.9041787290450577,8
2024,2,Z.Flowers,BAL,LV,WR,60.5,102.3544858293811,0.9973670311598463,0.904064332214252,11
2024,2,C.Godwin,TB,DET,WR,60.5,100.43423949385797,0.9961193660278519,0.9016824260531717,8
2024,2,D.Adams,LV,BAL,WR,60.5,99.3784586907207,0.99522758623777,0.8999799373630154,12
2024,2,N.Collins,HOU,CHI,WR,60.5,91.99390859321902,0.9821177103544206,0.874951992494803,10
2024,2,D.Samuel,SF,MIN,WR,60.5,89.64995621858824,0.9740118755300943,0.859477216921089,10
2024,2,T.McBride,ARI,LA,TE,35.5,57.90642793908049,0.9690633306960514,0.850029994965189,6
2024,2,J.Smith,MIA,BUF,TE,35.5,55.795046273379306,0.9546058355183004,0.8224293223531188,7
2024,2,J.Tolbert,DAL,NO,WR,60.5,83.64278603352459,0.9385667041468582,0.7918091624621837,9
2024,2,D.Smith,PHI,ATL,WR,60.5,81.77113565727406,0.921915669073,0.7600208227757274,10
2024,2,J.Williams,DET,TB,WR,60.5,80.29139948708507,0.9064867385025372,0.730565591686662,11
2024,2,B.Strange,JAX,CLE,TE,35.5,49.24826583279483,0.8740380341714478,0.6686180652364002,6
2024,2,C.Olave,NO,DAL,WR,60.5,77.32255610780973,0.8689632498900467,0.65892984069918,6
2024,2,J.Jefferson,MIN,SF,WR,60.5,77.28223968809748,0.8683906733685298,0.6578367400671933,7
2024,2,D.Moore,CHI,HOU,WR,60.5,75.04785826556346,0.8339411661758259,0.5920694990629404,10
2024,2,L.Schoonmaker,DAL,NO,TE,35.5,44.755841933990844,0.7797414074772042,0.4885972324564808,6
2024,2,M.Andrews,BAL,LV,TE,35.5,44.39527552305149,0.7707360233883229,0.47140513555952557,5
2024,2,G.Dulcich,DEN,PIT,TE,35.5,43.726778892846255,0.7535062415352978,0.4385119156582957,8
2024,2,D.London,ATL,PHI,WR,60.5,66.92040894535046,0.6656843641916785,0.2708519680022954,7
2024,2,D.Mooney,ATL,PHI,WR,60.5,66.92040894535046,0.6656843641916785,0.2708519680022954,7
2024,3,J.Jennings,SF,LA,WR,60.5,162.74178871017529,0.9999999999953234,0.909090909081981,12
2024,3,D.Goedert,PHI,NO,TE,35.5,104.18788469217485,0.9999999947974682,0.9090908991588028,11
2024,3,C.Kmet,CHI,IND,TE,35.5,89.7622309085643,0.9999969349625352,0.9090850576557489,11
2024,3,J.Ferguson,DAL,BAL,TE,35.5,87.07248492750576,0.9999913712993573,0.9090744361169549,11
2024,3,R.Rice,KC,ATL,WR,60.5,116.48339727056256,0.9999051026332609,0.9089097413907709,14
2024,3,D.Johnson,CAR,LV,WR,60.5,103.30684156558851,0.9978399422735805,0.90496716252229,14
