game_id,season,week,team,opp,player_id,player,position,routes,targets,target_share,air_yards,rush_att,snap_pct,receiving_yards,rushing_yards
2018_01_NE_HOU,2018,1,NE,HOU,00-0019596,T.Brady,QB,,0,,,,,0.0,2.0
2018_02_NE_JAX,2018,2,NE,JAX,00-0019596,T.Brady,QB,,0,,,,,0.0,10.0
2018_03_NE_DET,2018,3,NE,DET,00-0019596,T.Brady,QB,,0,,,,,0.0,2.0
2018_04_NE_MIA,2018,4,NE,MIA,00-0019596,T.Brady,QB,,0,,,,,0.0,0.0
2018_05_NE_IND,2018,5,NE,IND,00-0019596,T.Brady,QB,,0,,,,,0.0,-1.0
2018_06_NE_KC,2018,6,NE,KC,00-0019596,T.Brady,QB,,0,,,,,0.0,2.0
2018_07_NE_CHI,2018,7,NE,CHI,00-0019596,T.Brady,QB,,0,,,,,0.0,6.0
2018_08_NE_BUF,2018,8,NE,BUF,00-0019596,T.Brady,QB,,0,,,,,0.0,8.0
2018_09_NE_GB,2018,9,NE,GB,00-0019596,T.Brady,QB,,0,,,,,0.0,-1.0
2018_10_NE_TEN,2018,10,NE,TEN,00-0019596,T.Brady,QB,,1,0.025,,,,6.0,0.0
2018_12_NE_NYJ,2018,12,NE,NYJ,00-0019596,T.Brady,QB,,0,,,,,0.0,-1.0
2018_13_NE_MIN,2018,13,NE,MIN,00-0019596,T.Brady,QB,,0,,,,,0.0,5.0
2018_14_NE_MIA,2018,14,NE,MIA,00-0019596,T.Brady,QB,,0,,,,,0.0,3.0
2018_15_NE_PIT,2018,15,NE,PIT,00-0019596,T.Brady,QB,,0,,,,,0.0,0.0
2018_16_NE_BUF,2018,16,NE,BUF,00-0019596,T.Brady,QB,,0,,,,,0.0,0.0
2018_17_NE_NYJ,2018,17,NE,NYJ,00-0019596,T.Brady,QB,,0,,,,,0.0,0.0
2018_19_NE_LAC,2018,19,NE,LAC,00-0019596,T.Brady,QB,,0,,,,,0.0,-1.0
2018_20_NE_KC,2018,20,NE,KC,00-0019596,T.Brady,QB,,0,,,,,0.0,-1.0
2018_21_NE_LA,2018,21,NE,LA,00-0019596,T.Brady,QB,,0,,,,,0.0,-2.0
2018_01_NO_TB,2018,1,NO,TB,00-0020531,D.Brees,QB,,0,,,,,0.0,0.0
2018_02_NO_CLE,2018,2,NO,CLE,00-0020531,D.Brees,QB,,0,,,,,0.0,-1.0
2018_03_NO_ATL,2018,3,NO,ATL,00-0020531,D.Brees,QB,,0,,,,,0.0,7.0
2018_04_NO_NYG,2018,4,NO,NYG,00-0020531,D.Brees,QB,,0,,,,,0.0,-1.0
2018_05_NO_WAS,2018,5,NO,WAS,00-0020531,D.Brees,QB,,1,0.03448276,,,,1.0,1.0
2018_07_NO_BAL,2018,7,NO,BAL,00-0020531,D.Brees,QB,,0,,,,,0.0,3.0
2018_08_NO_MIN,2018,8,NO,MIN,00-0020531,D.Brees,QB,,0,,,,,0.0,0.0
2018_09_NO_LA,2018,9,NO,LA,00-0020531,D.Brees,QB,,0,,,,,0.0,16.0
2018_10_NO_CIN,2018,10,NO,CIN,00-0020531,D.Brees,QB,,0,,,,,0.0,3.0
2018_11_NO_PHI,2018,11,NO,PHI,00-0020531,D.Brees,QB,,0,,,,,0.0,0.0
2018_12_NO_ATL,2018,12,NO,ATL,00-0020531,D.Brees,QB,,0,,,,,0.0,-4.0
2018_13_NO_DAL,2018,13,NO,DAL,00-0020531,D.Brees,QB,,0,,,,,0.0,2.0
2018_14_NO_TB,2018,14,NO,TB,00-0020531,D.Brees,QB,,0,,,,,0.0,-1.0
2018_15_NO_CAR,2018,15,NO,CAR,00-0020531,D.Brees,QB,,0,,,,,0.0,-2.0
2018_16_NO_PIT,2018,16,NO,PIT,00-0020531,D.Brees,QB,,0,,,,,0.0,-1.0
2018_19_NO_PHI,2018,19,NO,PHI,00-0020531,D.Brees,QB,,0,,,,,0.0,0.0
2018_20_NO_LA,2018,20,NO,LA,00-0020531,D.Brees,QB,,0,,,,,0.0,-2.0
2018_10_NYJ_BUF,2018,10,NYJ,BUF,00-0021206,J.McCown,QB,,0,,,,,0.0,4.0
2018_12_NYJ_NE,2018,12,NYJ,NE,00-0021206,J.McCown,QB,,0,,,,,0.0,25.0
2018_13_NYJ_TEN,2018,13,NYJ,TEN,00-0021206,J.McCown,QB,,0,,,,,0.0,3.0
2018_14_NYJ_BUF,2018,14,NYJ,BUF,00-0021206,J.McCown,QB,,0,,,,,0.0,0.0
2018_01_LAC_KC,2018,1,LAC,KC,00-0021547,A.Gates,TE,,3,0.06,,,,16.0,0.0
2018_02_LAC_BUF,2018,2,LAC,BUF,00-0021547,A.Gates,TE,,1,0.037037037,,,,0.0,0.0
2018_03_LAC_LA,2018,3,LAC,LA,00-0021547,A.Gates,TE,,5,0.16666667,,,,45.0,0.0
2018_04_LAC_SF,2018,4,LAC,SF,00-0021547,A.Gates,TE,,4,0.10526316,,,,27.0,0.0
2018_05_LAC_LV,2018,5,LAC,LV,00-0021547,A.Gates,TE,,2,0.07692308,,,,19.0,0.0
2018_06_LAC_CLE,2018,6,LAC,CLE,00-0021547,A.Gates,TE,,2,0.0952381,,,,5.0,0.0
2018_07_LAC_TEN,2018,7,LAC,TEN,00-0021547,A.Gates,TE,,3,0.12,,,,11.0,0.0
2018_10_LAC_LV,2018,10,LAC,LV,00-0021547,A.Gates,TE,,2,0.07692308,,,,18.0,0.0
2018_11_LAC_DEN,2018,11,LAC,DEN,00-0021547,A.Gates,TE,,7,0.1627907,,,,80.0,0.0
2018_12_LAC_ARI,2018,12,LAC,ARI,00-0021547,A.Gates,TE,,1,0.032258064,,,,18.0,0.0
2018_13_LAC_PIT,2018,13,LAC,PIT,00-0021547,A.Gates,TE,,1,0.027777778,,,,0.0,0.0
2018_14_LAC_CIN,2018,14,LAC,CIN,00-0021547,A.Gates,TE,,2,0.06896552,,,,19.0,0.0
2018_15_LAC_KC,2018,15,LAC,KC,00-0021547,A.Gates,TE,,5,0.13157895,,,,54.0,0.0
2018_16_LAC_BAL,2018,16,LAC,BAL,00-0021547,A.Gates,TE,,5,0.1388889,,,,21.0,0.0
2018_17_LAC_DEN,2018,17,LAC,DEN,00-0021547,A.Gates,TE,,2,0.083333336,,,,0.0,0.0
2018_18_LAC_BAL,2018,18,LAC,BAL,00-0021547,A.Gates,TE,,4,0.13793103,,,,35.0,0.0
2018_19_LAC_NE,2018,19,LAC,NE,00-0021547,A.Gates,TE,,8,0.17021276,,,,41.0,0.0
2018_02_ATL_CAR,2018,2,ATL,CAR,00-0022787,M.Schaub,QB,,0,,,,,0.0,0.0
2018_05_ATL_PIT,2018,5,ATL,PIT,00-0022787,M.Schaub,QB,,1,0.022222223,,,,-7.0,0.0
2018_01_NYG_JAX,2018,1,NYG,JAX,00-0022803,E.Manning,QB,,0,,,,,0.0,2.0
2018_02_NYG_DAL,2018,2,NYG,DAL,00-0022803,E.Manning,QB,,0,,,,,0.0,4.0
2018_03_NYG_HOU,2018,3,NYG,HOU,00-0022803,E.Manning,QB,,0,,,,,0.0,-1.0
2018_04_NYG_NO,2018,4,NYG,NO,00-0022803,E.Manning,QB,,0,,,,,0.0,5.0
2018_05_NYG_CAR,2018,5,NYG,CAR,00-0022803,E.Manning,QB,,0,,,,,0.0,2.0
2018_06_NYG_PHI,2018,6,NYG,PHI,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_07_NYG_ATL,2018,7,NYG,ATL,00-0022803,E.Manning,QB,,0,,,,,0.0,7.0
2018_08_NYG_WAS,2018,8,NYG,WAS,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_10_NYG_SF,2018,10,NYG,SF,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_11_NYG_TB,2018,11,NYG,TB,00-0022803,E.Manning,QB,,0,,,,,0.0,-1.0
2018_12_NYG_PHI,2018,12,NYG,PHI,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_13_NYG_CHI,2018,13,NYG,CHI,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_14_NYG_WAS,2018,14,NYG,WAS,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_15_NYG_TEN,2018,15,NYG,TEN,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_16_NYG_IND,2018,16,NYG,IND,00-0022803,E.Manning,QB,,0,,,,,0.0,0.0
2018_17_NYG_DAL,2018,17,NYG,DAL,00-0022803,E.Manning,QB,,0,,,,,0.0,2.0
2018_01_ARI_WAS,2018,1,ARI,WAS,00-0022921,L.Fitzgerald,WR,,10,0.29411766,,,,76.0,0.0
2018_02_ARI_LA,2018,2,ARI,LA,00-0022921,L.Fitzgerald,WR,,5,0.18518518,,,,28.0,0.0
2018_03_ARI_CHI,2018,3,ARI,CHI,00-0022921,L.Fitzgerald,WR,,2,0.08,,,,9.0,0.0
2018_04_ARI_SEA,2018,4,ARI,SEA,00-0022921,L.Fitzgerald,WR,,7,0.28,,,,28.0,0.0
2018_05_ARI_SF,2018,5,ARI,SF,00-0022921,L.Fitzgerald,WR,,3,0.13043478,,,,35.0,0.0
2018_06_ARI_MIN,2018,6,ARI,MIN,00-0022921,L.Fitzgerald,WR,,8,0.2580645,,,,39.0,0.0
2018_07_ARI_DEN,2018,7,ARI,DEN,00-0022921,L.Fitzgerald,WR,,8,0.22222222,,,,40.0,0.0
2018_08_ARI_SF,2018,8,ARI,SF,00-0022921,L.Fitzgerald,WR,,12,0.34285715,,,,102.0,0.0
2018_10_ARI_KC,2018,10,ARI,KC,00-0022921,L.Fitzgerald,WR,,10,0.27027026,,,,50.0,0.0
2018_11_ARI_LV,2018,11,ARI,LV,00-0022921,L.Fitzgerald,WR,,4,0.21052632,,,,23.0,0.0
2018_12_ARI_LAC,2018,12,ARI,LAC,00-0022921,L.Fitzgerald,WR,,2,0.11764706,,,,30.0,0.0
2018_13_ARI_GB,2018,13,ARI,GB,00-0022921,L.Fitzgerald,WR,,6,0.25,,,,48.0,0.0
2018_14_ARI_DET,2018,14,ARI,DET,00-0022921,L.Fitzgerald,WR,,9,0.2195122,,,,55.0,0.0
2018_15_ARI_ATL,2018,15,ARI,ATL,00-0022921,L.Fitzgerald,WR,,8,0.22857143,,,,82.0,0.0
2018_16_ARI_LA,2018,16,ARI,LA,00-0022921,L.Fitzgerald,WR,,9,0.29032257,,,,53.0,0.0
2018_17_ARI_SEA,2018,17,ARI,SEA,00-0022921,L.Fitzgerald,WR,,9,0.27272728,,,,36.0,0.0
2018_01_PIT_CLE,2018,1,PIT,CLE,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,16.0
2018_02_PIT_KC,2018,2,PIT,KC,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,9.0
2018_03_PIT_TB,2018,3,PIT,TB,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,-1.0
2018_04_PIT_BAL,2018,4,PIT,BAL,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,-1.0
2018_05_PIT_ATL,2018,5,PIT,ATL,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,16.0
2018_06_PIT_CIN,2018,6,PIT,CIN,00-0022924,B.Roethlisberger,QB,,1,0.022222223,,,,-1.0,-1.0
2018_08_PIT_CLE,2018,8,PIT,CLE,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,6.0
2018_09_PIT_BAL,2018,9,PIT,BAL,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,4.0
2018_10_PIT_CAR,2018,10,PIT,CAR,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,27.0
2018_11_PIT_JAX,2018,11,PIT,JAX,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,1.0
2018_12_PIT_DEN,2018,12,PIT,DEN,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,18.0
2018_13_PIT_LAC,2018,13,PIT,LAC,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,0.0
2018_14_PIT_LV,2018,14,PIT,LV,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,0.0
2018_15_PIT_NE,2018,15,PIT,NE,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,-3.0
2018_16_PIT_NO,2018,16,PIT,NO,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,4.0
2018_17_PIT_CIN,2018,17,PIT,CIN,00-0022924,B.Roethlisberger,QB,,0,,,,,0.0,3.0
2018_01_LAC_KC,2018,1,LAC,KC,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_02_LAC_BUF,2018,2,LAC,BUF,00-0022942,P.Rivers,QB,,0,,,,,0.0,5.0
2018_03_LAC_LA,2018,3,LAC,LA,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_04_LAC_SF,2018,4,LAC,SF,00-0022942,P.Rivers,QB,,0,,,,,0.0,-3.0
2018_05_LAC_LV,2018,5,LAC,LV,00-0022942,P.Rivers,QB,,0,,,,,0.0,-2.0
2018_06_LAC_CLE,2018,6,LAC,CLE,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_07_LAC_TEN,2018,7,LAC,TEN,00-0022942,P.Rivers,QB,,0,,,,,0.0,-1.0
2018_09_LAC_SEA,2018,9,LAC,SEA,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_10_LAC_LV,2018,10,LAC,LV,00-0022942,P.Rivers,QB,,0,,,,,0.0,1.0
2018_11_LAC_DEN,2018,11,LAC,DEN,00-0022942,P.Rivers,QB,,0,,,,,0.0,-4.0
2018_12_LAC_ARI,2018,12,LAC,ARI,00-0022942,P.Rivers,QB,,0,,,,,0.0,3.0
2018_13_LAC_PIT,2018,13,LAC,PIT,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_14_LAC_CIN,2018,14,LAC,CIN,00-0022942,P.Rivers,QB,,0,,,,,0.0,7.0
2018_15_LAC_KC,2018,15,LAC,KC,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_16_LAC_BAL,2018,16,LAC,BAL,00-0022942,P.Rivers,QB,,0,,,,,0.0,1.0
2018_17_LAC_DEN,2018,17,LAC,DEN,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_18_LAC_BAL,2018,18,LAC,BAL,00-0022942,P.Rivers,QB,,0,,,,,0.0,15.0
2018_19_LAC_NE,2018,19,LAC,NE,00-0022942,P.Rivers,QB,,0,,,,,0.0,0.0
2018_01_NO_TB,2018,1,NO,TB,00-0022943,B.Watson,TE,,4,0.09090909,,,,44.0,0.0
2018_02_NO_CLE,2018,2,NO,CLE,00-0022943,B.Watson,TE,,5,0.14285715,,,,19.0,0.0
2018_03_NO_ATL,2018,3,NO,ATL,00-0022943,B.Watson,TE,,6,0.12244898,,,,71.0,0.0
2018_04_NO_NYG,2018,4,NO,NYG,00-0022943,B.Watson,TE,,3,0.09090909,,,,23.0,0.0
2018_05_NO_WAS,2018,5,NO,WAS,00-0022943,B.Watson,TE,,4,0.13793103,,,,30.0,0.0
2018_07_NO_BAL,2018,7,NO,BAL,00-0022943,B.Watson,TE,,6,0.21428572,,,,43.0,0.0
2018_09_NO_LA,2018,9,NO,LA,00-0022943,B.Watson,TE,,4,0.11111111,,,,62.0,0.0
2018_10_NO_CIN,2018,10,NO,CIN,00-0022943,B.Watson,TE,,2,0.074074075,,,,1.0,0.0
2018_12_NO_ATL,2018,12,NO,ATL,00-0022943,B.Watson,TE,,2,0.09090909,,,,20.0,0.0
2018_14_NO_TB,2018,14,NO,TB,00-0022943,B.Watson,TE,,3,0.09677419,,,,24.0,0.0
2018_15_NO_CAR,2018,15,NO,CAR,00-0022943,B.Watson,TE,,2,0.05882353,,,,28.0,0.0
2018_16_NO_PIT,2018,16,NO,PIT,00-0022943,B.Watson,TE,,2,0.051282052,,,,6.0,0.0
2018_17_NO_CAR,2018,17,NO,CAR,00-0022943,B.Watson,TE,,3,0.14285715,,,,29.0,0.0
2018_19_NO_PHI,2018,19,NO,PHI,00-0022943,B.Watson,TE,,1,0.027027028,,,,12.0,0.0
2018_01_WAS_ARI,2018,1,WAS,ARI,00-0023436,A.Smith,QB,,0,,,,,0.0,14.0
2018_02_WAS_IND,2018,2,WAS,IND,00-0023436,A.Smith,QB,,0,,,,,0.0,14.0
2018_03_WAS_GB,2018,3,WAS,GB,00-0023436,A.Smith,QB,,0,,,,,0.0,20.0
2018_05_WAS_NO,2018,5,WAS,NO,00-0023436,A.Smith,QB,,0,,,,,0.0,7.0
2018_06_WAS_CAR,2018,6,WAS,CAR,00-0023436,A.Smith,QB,,0,,,,,0.0,13.0
2018_07_WAS_DAL,2018,7,WAS,DAL,00-0023436,A.Smith,QB,,0,,,,,0.0,16.0
2018_08_WAS_NYG,2018,8,WAS,NYG,00-0023436,A.Smith,QB,,0,,,,,0.0,13.0
2018_09_WAS_ATL,2018,9,WAS,ATL,00-0023436,A.Smith,QB,,0,,,,,0.0,22.0
2018_10_WAS_TB,2018,10,WAS,TB,00-0023436,A.Smith,QB,,0,,,,,0.0,16.0
2018_11_WAS_HOU,2018,11,WAS,HOU,00-0023436,A.Smith,QB,,0,,,,,0.0,33.0
2018_01_GB_CHI,2018,1,GB,CHI,00-0023459,A.Rodgers,QB,,0,,,,,0.0,15.0
2018_02_GB_MIN,2018,2,GB,MIN,00-0023459,A.Rodgers,QB,,0,,,,,0.0,8.0
2018_03_GB_WAS,2018,3,GB,WAS,00-0023459,A.Rodgers,QB,,0,,,,,0.0,13.0
2018_04_GB_BUF,2018,4,GB,BUF,00-0023459,A.Rodgers,QB,,0,,,,,0.0,31.0
2018_05_GB_DET,2018,5,GB,DET,00-0023459,A.Rodgers,QB,,0,,,,,0.0,10.0
2018_06_GB_SF,2018,6,GB,SF,00-0023459,A.Rodgers,QB,,0,,,,,0.0,34.0
2018_08_GB_LA,2018,8,GB,LA,00-0023459,A.Rodgers,QB,,0,,,,,0.0,5.0
2018_09_GB_NE,2018,9,GB,NE,00-0023459,A.Rodgers,QB,,0,,,,,0.0,8.0
2018_10_GB_MIA,2018,10,GB,MIA,00-0023459,A.Rodgers,QB,,0,,,,,0.0,21.0
2018_11_GB_SEA,2018,11,GB,SEA,00-0023459,A.Rodgers,QB,,0,,,,,0.0,3.0
2018_12_GB_MIN,2018,12,GB,MIN,00-0023459,A.Rodgers,QB,,0,,,,,0.0,0.0
2018_13_GB_ARI,2018,13,GB,ARI,00-0023459,A.Rodgers,QB,,0,,,,,0.0,20.0
2018_14_GB_ATL,2018,14,GB,ATL,00-0023459,A.Rodgers,QB,,0,,,,,0.0,44.0
2018_15_GB_CHI,2018,15,GB,CHI,00-0023459,A.Rodgers,QB,,0,,,,,0.0,25.0
2018_16_GB_NYJ,2018,16,GB,NYJ,00-0023459,A.Rodgers,QB,,0,,,,,0.0,32.0
2018_17_GB_DET,2018,17,GB,DET,00-0023459,A.Rodgers,QB,,0,,,,,0.0,0.0
2018_01_MIA_TEN,2018,1,MIA,TEN,00-0023500,F.Gore,RB,,0,,,,,0.0,61.0
